account_id,arr,seat_count,tenure_months,contract_length_months,prior_discount_count,usage_trend_30d,feature_adoption_breadth,seat_utilization,support_tickets_90d,nps_score,treated_discount_offered,renewed,_true_causal_effect_logodds
0,17635.0,13,31,12,1,-0.99,0.393,0.684,3,34.5,0,1,0.6792
1,7179.0,16,39,12,0,-0.639,0.43,0.724,4,19.0,1,1,0.8349
2,130833.0,22,58,24,1,0.968,0.907,0.563,3,19.5,1,1,0.0208
3,2821.0,12,45,12,1,-0.678,0.874,0.185,1,60.3,1,0,0.4918
4,21768.0,9,46,24,1,2.557,0.79,0.85,1,97.7,0,1,0.0
5,10547.0,15,5,12,0,0.181,0.583,0.621,4,41.4,1,1,0.6598
6,8722.0,12,59,12,1,0.317,0.821,0.463,0,31.6,1,1,0.0816
7,31332.0,19,51,24,2,-0.034,0.292,0.711,0,51.4,1,1,0.3428
8,2337.0,22,54,36,0,0.11,0.256,0.822,4,38.7,1,1,0.2131
9,4947.0,15,52,12,1,0.464,0.189,0.916,1,67.7,1,1,0.1708
10,10828.0,17,27,12,0,-1.694,0.815,0.748,1,30.7,1,0,0.0794
11,57515.0,13,53,12,1,-0.244,0.573,0.671,2,30.9,1,0,0.277
12,13001.0,10,31,12,0,-1.24,0.858,0.654,1,12.3,1,0,0.3594
13,26870.0,12,36,24,0,-1.179,0.431,0.558,2,33.0,1,1,0.345
14,2243.0,18,24,12,1,0.117,0.407,0.635,2,36.3,0,1,1.5657
15,3935.0,15,15,36,1,-0.505,0.865,0.553,0,13.7,0,1,1.3213
16,28717.0,11,24,36,0,-1.083,0.215,0.644,0,15.8,0,0,0.6096
17,6818.0,10,24,36,1,0.543,0.471,0.726,1,26.4,1,1,0.8354
18,11339.0,14,14,12,0,-0.303,0.344,0.671,3,69.1,1,1,1.4201
19,23166.0,15,20,12,0,2.27,0.369,0.642,4,29.6,0,1,0.0004
20,1649.0,6,30,12,1,0.034,0.111,0.52,4,28.6,1,1,1.5395
21,4071.0,18,33,24,3,1.112,0.535,0.303,3,26.5,1,1,0.1374
22,11028.0,21,59,24,2,-0.195,0.636,0.617,3,-3.4,1,1,0.1183
23,2983.0,20,15,24,2,1.515,0.592,0.533,1,70.9,1,1,0.0252
24,6330.0,20,21,12,0,-1.41,0.835,0.581,2,3.2,1,1,0.2311
25,11551.0,14,10,36,0,-0.078,0.265,0.669,2,23.6,0,1,1.1408
26,6595.0,11,14,12,1,-0.2,0.893,0.928,1,38.9,1,1,1.4413
27,9422.0,18,32,24,2,0.075,0.959,0.324,1,1.1,1,1,1.4054
28,12452.0,14,10,24,0,1.026,0.713,0.493,2,-10.7,1,1,0.1443
29,39729.0,18,20,24,0,0.732,0.562,0.666,1,33.8,1,1,0.5204
30,49685.0,13,20,24,0,-1.148,0.185,0.425,4,-9.9,1,0,0.498
31,8413.0,16,44,12,0,2.144,0.379,0.616,2,40.8,1,1,0.0004
32,5697.0,17,36,12,1,-2.51,0.495,0.371,3,41.8,1,0,0.0008
33,26717.0,17,6,24,0,0.932,0.588,0.524,5,32.4,1,1,0.1478
34,18999.0,6,14,24,0,-0.962,0.494,0.387,0,15.2,0,1,0.6437
35,15015.0,10,57,24,2,0.12,0.793,0.692,2,52.1,1,1,0.1388
36,5299.0,8,55,12,0,0.792,0.447,0.661,1,69.3,1,1,0.0542
37,21442.0,13,30,24,2,0.307,0.599,0.313,2,5.8,0,0,1.163
38,26309.0,19,36,12,0,-1.269,0.519,0.559,0,48.0,1,0,0.2672
39,2408.0,17,51,36,1,-0.399,0.721,0.485,2,-18.3,0,1,0.3371
40,29982.0,14,36,12,1,0.205,0.771,0.701,2,17.1,0,1,1.0407
41,11239.0,11,4,12,0,-0.41,0.735,0.869,2,14.8,1,1,0.6959
42,6146.0,16,30,12,1,-0.963,0.772,0.902,3,21.1,1,1,0.7399
43,2902.0,12,10,12,0,-1.096,0.591,0.289,2,53.3,1,0,0.3821
44,8822.0,10,54,24,1,1.416,0.706,0.944,1,-36.7,0,0,0.0065
45,11357.0,11,58,12,1,-1.879,0.111,0.767,2,-15.7,1,0,0.0028
46,8564.0,16,37,12,0,0.777,0.252,0.825,2,1.7,1,1,0.3283
47,4059.0,13,35,12,0,0.691,0.849,0.185,2,64.9,0,1,0.4563
48,4092.0,21,39,12,0,0.049,0.546,0.747,3,26.0,1,1,1.0015
49,22641.0,18,47,24,0,-0.151,0.453,0.687,1,28.6,1,0,0.5537
50,12527.0,8,13,24,1,0.34,0.365,0.577,0,26.5,1,0,0.9176
51,15503.0,15,43,12,2,-0.897,0.517,0.733,4,64.1,1,1,0.4112
52,21138.0,14,18,12,0,0.664,0.112,0.79,0,3.7,0,0,0.5893
53,22891.0,22,27,12,2,2.849,0.871,0.676,1,28.5,1,1,0.0
54,57198.0,13,48,12,1,-0.415,0.412,0.44,5,26.6,1,1,0.4693
55,11254.0,23,8,12,2,-0.1,0.748,0.365,3,32.1,0,1,1.005
56,9501.0,15,37,12,1,-0.901,0.585,0.482,4,100.0,0,0,0.6244
57,5066.0,18,27,24,0,2.342,0.52,0.48,4,-0.6,0,1,0.0002
58,15020.0,17,46,24,1,-0.948,0.729,0.869,3,61.6,1,0,0.2826
59,15225.0,17,22,12,1,0.329,0.7,0.422,0,29.4,1,1,1.2098
60,6057.0,14,13,24,3,1.369,0.284,0.248,2,22.4,1,1,0.045
61,11654.0,14,6,12,2,0.814,0.259,0.251,3,26.0,1,0,0.2104
62,11807.0,12,52,12,1,-0.995,0.488,0.302,1,14.6,1,1,0.131
63,324702.0,11,54,24,0,-0.242,0.696,0.429,2,73.6,1,1,0.243
64,7579.0,15,30,12,1,0.466,0.791,0.22,5,32.5,1,1,0.8975
65,36831.0,11,40,12,1,-0.015,0.327,0.732,2,55.8,1,1,0.9719
66,17302.0,22,27,24,1,-0.466,0.593,0.93,2,32.1,1,1,1.5993
67,11049.0,11,24,12,2,-1.32,0.381,0.878,2,52.2,1,1,0.3154
68,17328.0,11,29,12,1,0.154,0.366,0.58,2,18.6,0,1,1.4303
69,16568.0,21,39,12,2,-0.324,0.338,0.832,2,21.2,1,1,1.0689
70,11661.0,14,35,24,1,-1.583,0.539,0.725,1,18.3,1,1,0.0966
71,9587.0,16,36,12,2,0.341,0.258,0.437,1,7.7,1,1,0.8708
72,8567.0,20,54,12,0,-0.113,0.385,0.658,1,30.9,1,0,0.2411
73,8482.0,12,14,12,2,-0.66,0.262,0.463,6,46.6,1,1,1.0749
74,15426.0,14,48,12,1,0.16,0.479,0.65,4,94.7,0,1,0.4182
